Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
4,"A Canna, A Prinster, M Fratello, L Puglia…",A low-cost open-architecture taste delivery system for gustatory FMRI and BCI experiments,2019,Journal of neuroscience …,Elsevier,https://www.sciencedirect.com/science/article/pii/S016502701830311X?casa_token=gr_zVPAf4Y4AAAAA:DzqPSjBj37ubGnv_2gEAUOuH-_a7jDAUwEKHLic0AUB7EemdXdeiZm7RwB2yErhylxeOlgnf3ww,"https://scholar.google.com/scholar?cites=7443694973725845265&as_sdt=2005&sciodt=0,5&hl=en",1,2021-03-25 18:34:34,HTML,NA,NA,NA,NA,NA,NA,NA,4,2,1,5,2
0,A Dhaya,Adult dysphagia intervention through telepractice: a scoping review,2019,,scholar.sun.ac.za,http://scholar.sun.ac.za/handle/10019.1/105746,,100,2021-03-25 18:34:34,,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,2
1,"C Hu, L Yao, Z Chen, Z Sun, L Zhang, Y Wei",Assessment of gustatory function in aging people using event-related potentials,2020,NeuroReport,journals.lww.com,https://journals.lww.com/neuroreport/Fulltext/2020/06020/Assessment_of_gustatory_function_in_aging_people.2.aspx?casa_token=vMtjv5bB64gAAAAA:OpZvkNJbZqhyInCqyxUYGp5xxb4tGmxXczmZMcMcwnGkmGvGAq5hvWiGls0FLaf8yxI6mt8sh9_Z3anKv3qLS5MZ,"https://scholar.google.com/scholar?cites=645030439936140408&as_sdt=2005&sciodt=0,5&hl=en",6,2021-03-25 18:34:34,HTML,NA,NA,NA,NA,NA,NA,NA,1,1,0,6,1
3,"J Morris, CT Vi, M Obrist, S Forster, MR Yeomans",Ingested but not perceived: response to satiety cues disrupted by perceptual load,2020,Appetite,Elsevier,https://www.sciencedirect.com/science/article/pii/S0195666320302919?casa_token=3fJ1Bkp9booAAAAA:I3cOuHglkt74-Kw-KtYP3bZUIrPegEbrQ1fTP6XLVr2OaggcQ-n4oaJEQAKZ1oswEbeMY2mK5v8,"https://scholar.google.com/scholar?cites=9051273281293324978&as_sdt=2005&sciodt=0,5&hl=en",22,2021-03-25 18:34:34,HTML,NA,NA,NA,NA,NA,NA,NA,3,3,1,5,1
0,"S Gobbi, SC Weber, G Graf, D Hinz, L Asarian, N Geary…",Reduced neural satiety responses in women affected by obesity,2020,Neuroscience,Elsevier,https://www.sciencedirect.com/science/article/pii/S0306452220304668?casa_token=DhB0BN0aRvUAAAAA:QEhQCNmzFtdoBmTZ1w5iABmVIlJGtLwZXrh7F3KHwpxQ88OHitAX8ZVL0c6kMkoSq06OkqeYlmQ,,7,2021-03-25 18:34:34,HTML,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,1
7,"DM Livovsky, T Pribic, F Azpiroz","Food, eating, and the gastrointestinal tract",2020,Nutrients,mdpi.com,https://www.mdpi.com/2072-6643/12/4/986,"https://scholar.google.com/scholar?cites=3458647313305276747&as_sdt=2005&sciodt=0,5&hl=en",17,2021-03-25 18:34:34,,NA,NA,NA,NA,NA,NA,NA,7,7,2,3,1
0,"CA Roberts, T Giesbrecht, N Fallon…",A Systematic Review and Activation Likelihood Estimation Meta-Analysis of fMRI Studies on Sweet Taste in Humans,2020,The Journal of …,academic.oup.com,https://academic.oup.com/jn/article-abstract/150/6/1619/5818446,,184,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,66,2.54,33,2,26
21,"K Nomura, M Nakanishi, F Ishidate, K Iwata, A Taruno",All-electrical Ca2+-independent signal transduction mediates attractive sodium taste in taste buds,2020,Neuron,Elsevier,https://www.sciencedirect.com/science/article/pii/S0896627320301926?casa_token=qwKOVgSrpDMAAAAA:uZukvjpHsO4rSDnzKOGrP9feo5s6H6aEYuJgcosGo7ztaAaJaQqx1rI237IdvauKnO6AQUoExUo,"https://scholar.google.com/scholar?cites=2406035207644291198&as_sdt=2005&sciodt=0,5&hl=en",214,2021-03-25 18:21:59,HTML,NA,NA,NA,NA,NA,NA,NA,78,1.5,78,1,52
1,"C Hu, L Yao, Z Chen, Z Sun, L Zhang, Y Wei",Assessment of gustatory function in aging people using event-related potentials,2020,NeuroReport,journals.lww.com,https://journals.lww.com/neuroreport/Fulltext/2020/06020/Assessment_of_gustatory_function_in_aging_people.2.aspx?casa_token=pmOcNNWDw3QAAAAA:gQQKmoXr4jknxSHMVnk9N4Gzszrv1ObzDJOat7-5dLNwoWLQYoNZ72U_3tVW7dmlxeYqXNybq-l7ravfLcozmwlX,"https://scholar.google.com/scholar?cites=645030439936140408&as_sdt=2005&sciodt=0,5&hl=en",178,2021-03-25 18:21:59,HTML,NA,NA,NA,NA,NA,NA,NA,1,0.06,0,4,18
0,"H Noh, BY Choi, H Jeong, WJ Moon, JK Kim",Diagnosis of isolated congenital anosmia using simultaneous functional magnetic resonance imaging and olfactory event-related potentials: Our experience in …,2020,Authorea Preprints,authorea.com,https://www.authorea.com/doi/pdf/10.22541/au.158921630.09730470,,74,2021-03-25 18:21:59,PDF,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,10
4,"Y Nakamura, M Imafuku, H Nakatani, A Nishida…",Difference in neural reactivity to taste stimuli and visual food stimuli in neural circuits of ingestive behavior,2020,Brain imaging and …,Springer,https://link.springer.com/article/10.1007/s11682-019-00048-0,"https://scholar.google.com/scholar?cites=266248357166824795&as_sdt=2005&sciodt=0,5&hl=en",85,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,23
0,S Vogel,Geschmacksperzeption bei Tumorpatienten,2020,,opus4.kobv.de,https://opus4.kobv.de/opus4-fau/frontdoor/index/index/docId/13268,,319,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,17,1.7,6,3,10
3,"MC Farruggia, MJ van Kooten, EE Perszyk…",Identification of a brain fingerprint for overweight and obesity,2020,Physiology & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0031938420302547?casa_token=WaroWrsSonwAAAAA:WFJdrOEBvMOyRS4zgPCE4SFNDtea8w5bE4rBFJzAfw4eP0pSdJSY4iiuI6Q8gUfU9rox9Ae-CpU,"https://scholar.google.com/scholar?cites=4129451329464894618&as_sdt=2005&sciodt=0,5&hl=en",83,2021-03-25 18:21:59,HTML,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,9
0,Z Garcia,"Investigating the Molecules, Cells, and Circuits for Aversive Taste Signaling",2020,,search.proquest.com,https://search.proquest.com/openview/8f630029468a476341502ab7dd5fc1db/1?pq-origsite=gscholar&cbl=18750&diss=y,,118,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,1,0.02,1,1,51
0,"J Zheng, PLP Rau, J Zhao",Quantification of Natural Multimodal Interaction Capacity,2020,International Conference on Human …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-49788-0_20,,304,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,46,0.78,15,3,59
0,"RM Wood, Z Garcia, N Daniels…",Selective Pe-ripheral Taste Dysfunction in APP/PS1 Mutant Transgenic Mice,2020,Journal of …,content.iospress.com,https://content.iospress.com/articles/journal-of-alzheimers-disease/jad200376,,50,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,41
6,"KR Smith, A Papantoni, MG Veldhuizen…",Taste-related reward is associated with weight loss following bariatric surgery,2020,The Journal of …,Am Soc Clin Investig,https://www.jci.org/articles/view/137772,"https://scholar.google.com/scholar?cites=12939172068703384645&as_sdt=2005&sciodt=0,5&hl=en",156,2021-03-25 18:21:59,HTML,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1
2,G Coppin,The COVID-19 may help enlightening how emotional food is,2020,NPJ science of food,nature.com,https://www.nature.com/articles/s41538-020-00071-2,"https://scholar.google.com/scholar?cites=2243840114287008102&as_sdt=2005&sciodt=0,5&hl=en",174,2021-03-25 18:21:59,HTML,NA,NA,NA,NA,NA,NA,NA,18,2.25,6,3,8
4,"A Canna, A Prinster, M Fratello, L Puglia…",A low-cost open-architecture taste delivery system for gustatory FMRI and BCI experiments,2019,Journal of neuroscience …,Elsevier,https://www.sciencedirect.com/science/article/pii/S016502701830311X?casa_token=aKKHhBLbPkUAAAAA:o5SGi-DklGQqY-BgElSSYeWjpYPv2PhiKRn6aDCwwGNjXmYr02Bcaf2ctZOJd6vLCLdj2pJbX5Y,"https://scholar.google.com/scholar?cites=7443694973725845265&as_sdt=2005&sciodt=0,5&hl=en",33,2021-03-25 18:21:59,HTML,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,3
11,"EB Saleme, CAS Santos, G Ghinea",A mulsemedia framework for delivering sensory effects to heterogeneous systems,2019,Multimedia Systems,Springer,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00530-019-00618-8&casa_token=NkS9jMO2fHgAAAAA:T-eB-XcLXj5UUmysWYtIcQZ2D09at-M_DOHq0BF2cKm5Cb0QrxndFMDnKUdSDuizDfCuWDaq2TeFj0MncA,"https://scholar.google.com/scholar?cites=14460312169274788194&as_sdt=2005&sciodt=0,5&hl=en",244,2021-03-25 18:21:59,HTML,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA
4,"CA Andersen, L Alfine, K Ohla…",A new gustometer: Template for the construction of a portable and modular stimulator for taste and lingual touch,2019,Behavior research …,Springer,https://link.springer.com/article/10.3758/s13428-018-1145-1,"https://scholar.google.com/scholar?cites=11532253233812551596&as_sdt=2005&sciodt=0,5&hl=en",1,2021-03-25 18:21:59,HTML,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,22
0,JM Arlt,An Examination of Timing Variables in Liquid Taste Administration fMRI Paradigms,2019,,scholarshare.temple.edu,https://scholarshare.temple.edu/handle/20.500.12613/702,,257,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,83
0,AL Bartmuß,Charakterisierung und topographische Verarbeitung von ereigniskorrelierten Potenzialen verschiedener sensorischer Stimuli auf der Zunge,2019,,uniklinikum-dresden.de,https://www.uniklinikum-dresden.de/de/das-klinikum/kliniken-polikliniken-institute/hno/forschung/interdisziplinaeres-zentrum-fuer-riechen-und-schmecken/downloads/doktorarbeiten/anna_luisa_bartmuss_2018.pdf,,94,2021-03-25 18:21:59,PDF,NA,NA,NA,NA,NA,NA,NA,2,0.25,2,1,8
13,"AA Nolden, LD Hwang, A Boltong, DR Reed",Chemosensory changes from cancer treatment and their effects on patients' food behavior: a scoping review,2019,Nutrients,mdpi.com,https://www.mdpi.com/2072-6643/11/10/2285,"https://scholar.google.com/scholar?cites=12092716244114977234&as_sdt=2005&sciodt=0,5&hl=en",228,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,6,0.23,3,2,26
10,"T Thomas-Danguin, E Guichard, C Salles",Cross-modal interactions as a strategy to enhance salty taste and to maintain liking of low-salt food: a review,2019,Food & function,pubs.rsc.org,https://pubs.rsc.org/az/content/articlehtml/2019/fo/c8fo02006j?casa_token=g6pYuWgPVZIAAAAA:E5t6K8_PAqqjaovsOOgA2rf1nvxAz0mHAo_tcZ23Ek4mS1tWwwuxe1UGegIzl2AY58lmyUdOmagZdNQ,"https://scholar.google.com/scholar?cites=17466163660902116967&as_sdt=2005&sciodt=0,5&hl=en",154,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,7,0.06,7,1,112
9,"LC Bidwell, HC Karoly, RE Thayer, ED Claus…",DRD2 promoter methylation and measures of alcohol reward: functional activation of reward circuits and clinical severity,2019,Addiction …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/adb.12614?casa_token=mOveA_7SH2QAAAAA:mGqoLy7y-3poo3gOfT2oFOkTcKAHd7312vVDZaEzrowf_rt6x_9bKmKILdDqJ-Qo4jpIlIUGdsY2JOq9,"https://scholar.google.com/scholar?cites=17304351214069650904&as_sdt=2005&sciodt=0,5&hl=en",218,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,3,3,1,4,1
0,"KS Chandran, M Perumalsamy",EEG–Taste classification through sensitivity analysis,2019,The International Journal …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0020720919833036,,280,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,54,13.5,9,6,4
0,"I Duif, J Wegman, M Mars, C de Graaf, PAM Smeets…",Effects of distraction on taste-related neural processing,2019,bioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/693754v1.abstract,,211,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,10,0.26,3,4,39
1,"MC Farruggia, MJ Van Kooten, MV Burke, D Scheinost…",Fingerprinting Adiposity and Metabolic Function in the Brains of Overweight and Obese Humans,2019,bioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/540997v3.abstract,"https://scholar.google.com/scholar?cites=5429176024106658881&as_sdt=2005&sciodt=0,5&hl=en",216,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,33
3,"M Wilton, A Stancak, T Giesbrecht, A Thomas…",Intensity expectation modifies gustatory evoked potentials to sweet taste: Evidence of bidirectional assimilation in early perceptual processing,2019,…,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/psyp.13299,"https://scholar.google.com/scholar?cites=16474023055136502639&as_sdt=2005&sciodt=0,5&hl=en",69,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,12,3,2,5,4
2,"KM Wall, MC Farruggia, E Perszyk, A Kanyamibwa…",No evidence for an association between obesity and food liking,2019,,osf.io,https://osf.io/preprints/nutrixiv/d4jq9/,"https://scholar.google.com/scholar?cites=14363616840378707112&as_sdt=2005&sciodt=0,5&hl=en",92,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,57,1.08,57,1,53
6,"M Kasprzak, P Wilde, SE Hill, SE Harding, R Ford…",Non-chemically modified waxy rice starch stabilised wow emulsions for salt reduction,2019,Food & function,pubs.rsc.org,https://pubs.rsc.org/en/content/articlehtml/2019/fo/c8fo01938j,"https://scholar.google.com/scholar?cites=8917029132458433161&as_sdt=2005&sciodt=0,5&hl=en",312,2021-03-25 18:21:59,HTML,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,53
0,RSE Carney,Parallel and Sequential Sequences of Taste Detection and Discrimination in Humans,2019,Eneuro,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6347092/,,151,2021-03-25 18:21:59,HTML,NA,NA,NA,NA,NA,NA,NA,1,0.2,0,6,5
2,"T Mouillot, S Barthet, L Janin, C Creteau…","Taste perception and cerebral activity in the human gustatory cortex induced by glucose, fructose, and sucrose solutions",2019,Chemical …,academic.oup.com,https://academic.oup.com/chemse/article-abstract/44/7/435/5511861,"https://scholar.google.com/scholar?cites=16845094713905193293&as_sdt=2005&sciodt=0,5&hl=en",320,2021-03-25 18:21:59,,NA,NA,NA,NA,NA,NA,NA,319,18.76,64,5,17
0,"S Hardikar, A Villringer",Taste Perception in Obesity,2019,,core.ac.uk,https://core.ac.uk/download/pdf/226140396.pdf,,68,2021-03-25 18:21:59,PDF,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,8
